"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.588009000E0,1.232887268E1,3.101467133E1,-2.122435760E1,3.955229822E1
2.597939000E0,1.202562714E1,3.114342499E1,-2.085044098E1,3.936076113E1
2.607869000E0,1.227767944E1,3.130735016E1,-2.127328491E1,3.979251484E1
2.617799000E0,1.204914093E1,3.095165253E1,-2.100021362E1,3.929625381E1
2.627730000E0,1.216638184E1,3.081304169E1,-2.111240387E1,3.928355867E1
2.637660000E0,1.193674469E1,3.071056366E1,-2.113379669E1,3.914411778E1
2.647590000E0,1.226625824E1,3.095262527E1,-2.126415253E1,3.950557284E1
2.657520000E0,1.219998169E1,3.102866745E1,-2.051454926E1,3.914670469E1
2.667451000E0,1.214890289E1,3.100020599E1,-2.097279358E1,3.935056141E1
2.677381000E0,1.222146606E1,3.079259491E1,-2.082586670E1,3.913137945E1
2.687311000E0,1.258228302E1,3.092297363E1,-2.067121124E1,3.926631022E1
2.697241000E0,1.226455688E1,3.095861816E1,-2.106043243E1,3.940047219E1
2.707172000E0,1.249214172E1,3.129234695E1,-2.116440582E1,3.978940382E1
2.717102000E0,1.199684143E1,3.113632584E1,-2.094111633E1,3.939448368E1
2.727032000E0,1.223063660E1,3.097452164E1,-2.130202484E1,3.953208475E1
2.736962000E0,1.181541443E1,3.087117004E1,-2.123387909E1,3.928753974E1
2.746893000E0,1.215200043E1,3.105047989E1,-2.132416534E1,3.957933101E1
2.756823000E0,1.198317719E1,3.101174164E1,-2.123154449E1,3.944747313E1
2.766753000E0,1.195843506E1,3.104269791E1,-2.125077820E1,3.947466069E1
2.776683000E0,1.193177795E1,3.107008743E1,-2.117922974E1,3.944968226E1
2.786614000E0,1.216172028E1,3.089490128E1,-2.128946686E1,3.944165012E1
2.796544000E0,1.204886627E1,3.095245361E1,-2.090531921E1,3.924617095E1
2.806474000E0,1.206230927E1,3.111504364E1,-2.121785736E1,3.954545127E1
2.816404000E0,1.192229462E1,3.120454407E1,-2.107827759E1,3.949884132E1
2.826335000E0,1.205889130E1,3.114054871E1,-2.114144135E1,3.952355216E1
2.836265000E0,1.196963501E1,3.117582321E1,-2.094712830E1,3.942063291E1
2.846195000E0,1.249055481E1,3.091822433E1,-2.129554749E1,3.956577938E1
2.856125000E0,1.218492126E1,3.106824112E1,-2.086103821E1,3.935595035E1
2.866056000E0,1.216291809E1,3.103800583E1,-2.082907104E1,3.930832714E1
2.875986000E0,1.207698822E1,3.100136948E1,-2.071102142E1,3.919036823E1
